criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,tree_depth,leaf_count,val_accuracy,val_macro_f1
entropy,4.0,2,10,0.003,balanced,4,14,0.6809954751131222,0.648108616052623
entropy,4.0,5,10,0.0,balanced,4,15,0.6809954751131222,0.648108616052623
entropy,4.0,5,10,0.001,balanced,4,15,0.6809954751131222,0.648108616052623
entropy,4.0,5,10,0.003,balanced,4,14,0.6809954751131222,0.648108616052623
entropy,4.0,10,10,0.0,balanced,4,15,0.6809954751131222,0.648108616052623
entropy,4.0,10,10,0.001,balanced,4,15,0.6809954751131222,0.648108616052623
entropy,4.0,10,10,0.003,balanced,4,14,0.6809954751131222,0.648108616052623
log_loss,4.0,2,10,0.0,balanced,4,15,0.6809954751131222,0.648108616052623
log_loss,4.0,2,10,0.001,balanced,4,15,0.6809954751131222,0.648108616052623
log_loss,4.0,2,10,0.003,balanced,4,14,0.6809954751131222,0.648108616052623
log_loss,4.0,5,10,0.0,balanced,4,15,0.6809954751131222,0.648108616052623
log_loss,4.0,5,10,0.001,balanced,4,15,0.6809954751131222,0.648108616052623
log_loss,4.0,5,10,0.003,balanced,4,14,0.6809954751131222,0.648108616052623
log_loss,4.0,10,10,0.0,balanced,4,15,0.6809954751131222,0.648108616052623
log_loss,4.0,10,10,0.001,balanced,4,15,0.6809954751131222,0.648108616052623
log_loss,4.0,10,10,0.003,balanced,4,14,0.6809954751131222,0.648108616052623
entropy,10.0,10,1,0.003,balanced,10,59,0.6809954751131222,0.647456910318318
entropy,10.0,10,2,0.003,balanced,10,58,0.6809954751131222,0.647456910318318
log_loss,10.0,10,1,0.003,balanced,10,59,0.6809954751131222,0.647456910318318
log_loss,10.0,10,2,0.003,balanced,10,58,0.6809954751131222,0.647456910318318
entropy,12.0,2,5,0.003,balanced,11,57,0.6809954751131222,0.647456910318318
entropy,12.0,5,5,0.003,balanced,11,57,0.6809954751131222,0.647456910318318
entropy,12.0,10,5,0.003,balanced,11,57,0.6809954751131222,0.647456910318318
