k,cov_type,BIC,AIC,silhouette,calinski_harabasz,davies_bouldin,ARI,NMI,converged,n_iter
2,full,192813.76501227514,188663.54010873692,0.16585701762336305,305.315093458571,3.3209463211209327,0.016273962437608952,0.0037114705173681164,True,8
3,full,173575.79668312066,167347.26192804176,0.1639436375471503,675.2662266094891,2.8267691372481303,0.1774602644576846,0.1558556429769136,True,16
4,full,164554.04770692164,156247.20310030202,0.036193559171888046,498.0762913932922,2.9273122843751245,0.12347627360186145,0.13572227373782808,True,14
5,full,155369.13047818452,144983.9760200242,0.049642239702236336,453.4936614074976,2.781591159931245,0.11806727203702885,0.11822462575177921,True,19
6,full,136184.65690785562,123721.1925981546,0.02987480716540568,352.94277819907535,3.1399855224986744,0.10128612456158566,0.1095742147622472,True,25
7,full,131006.01835021282,116464.24418897109,0.02395856121637111,309.05059179715147,3.3537471056077925,0.17454883060929177,0.15375301871271313,True,30
8,full,133166.309196613,116546.22518383057,0.03304791494694424,270.29170184098956,3.283414490200933,0.11524496614123944,0.11282952582575007,True,36
2,diag,242614.40704879127,241994.11149310065,0.1688271373475653,433.0957703629768,3.028207759640949,0.21937277145432207,0.16194603980220976,True,17
3,diag,239329.8338548062,238396.19312149868,0.22652074363683417,675.8661167022477,2.536073047539516,0.21588685039969577,0.17283434117147353,True,9
4,diag,235500.9897963531,234254.00388542868,0.05664525716236295,535.1817159451243,3.151769180294904,0.20560300621245592,0.1870064445853383,True,17
5,diag,231259.93480160853,229699.6037130672,0.07213978939148723,444.8616816124142,2.676690381447339,0.23732124909379643,0.20347014951608877,True,22
6,diag,229627.42382466444,227753.7475585062,0.028091313530449837,378.60227932320123,3.0052119187986963,0.20249726520224468,0.2013177561052848,True,36
7,diag,228205.80093024345,226018.7794864683,0.023841362217057693,344.99327300650094,2.81037893827759,0.11743579157024264,0.17352971862099584,True,22
8,diag,227442.64718829692,224942.28056690487,0.0419335434043986,374.83683491724673,2.5143056452630415,0.15167435895746803,0.1822668025588322,True,17
