iter	MultiClass
392	0.4034887812
393	0.4031429528
394	0.4024601196
395	0.4021608288
396	0.4017950072
397	0.401201437
398	0.4005741399
399	0.3999709194
400	0.3994571535
401	0.3990961867
402	0.3985151163
403	0.3982861406
404	0.3980514907
405	0.3974855684
406	0.3968973809
407	0.3963815361
408	0.395823657
409	0.3953807261
410	0.39480961
411	0.3942689012
412	0.3936499442
413	0.3931258134
414	0.3925178516
415	0.3920513419
416	0.3915572845
417	0.3909191442
418	0.3905696392
419	0.389930841
420	0.3895608496
421	0.3889480891
422	0.3885959701
423	0.3883675321
424	0.3879510381
425	0.387684987
426	0.387276869
427	0.3868196853
428	0.3864507212
429	0.3860154258
430	0.3856880505
431	0.3854103265
432	0.3849427522
433	0.3845888486
434	0.3844047356
435	0.383946507
436	0.3833651953
437	0.3828663728
438	0.3822541416
439	0.3819573151
440	0.3816721664
441	0.380989639
442	0.3802852654
443	0.3799943288
444	0.3796282841
445	0.3793275422
446	0.3788837394
447	0.3784813405
448	0.3778701784
449	0.3771836748
450	0.3767828516
451	0.376339332
452	0.3758159458
453	0.3754977694
454	0.3750086913
455	0.374714575
456	0.3742251737
457	0.3739764789
458	0.3733428658
459	0.3731305299
460	0.37297883
461	0.3727544623
462	0.3723533333
463	0.3716902062
464	0.3712589511
465	0.3707143405
466	0.3702124125
467	0.3695945426
468	0.3693357755
469	0.3688067963
470	0.3683142125
471	0.3678439403
472	0.3676380306
473	0.3671096621
474	0.366550562
475	0.3661284615
476	0.3655252035
477	0.3650522836
478	0.3644419118
479	0.3639248614
480	0.3635489351
481	0.3629495353
482	0.3625763817
483	0.3622804731
484	0.361952508
485	0.3614078182
486	0.3610320768
487	0.3606005981
488	0.3598234313
489	0.3596079307
490	0.3593803324
491	0.3590301929
492	0.3586772599
493	0.3583838297
494	0.3580787139
495	0.3575951329
496	0.3573004979
497	0.3567382933
498	0.356293579
499	0.3557424831
