config,affinity,n_neighbors,gamma,silhouette,calinski_harabasz,davies_bouldin,ARI,NMI,time_sec,cluster_sizes
nearest_neighbors_k10,nearest_neighbors,10.0,,0.22375818038650702,585.917193501199,1.6162578010168034,0.16966441072555105,0.21058053771424523,2.8460309505462646,"{0: 3571, 1: 676, 2: 177}"
nearest_neighbors_k20,nearest_neighbors,20.0,,0.22290035688478485,582.2140670171538,1.6060280179012911,0.1615375407788999,0.20592809222195732,4.813116788864136,"{0: 3594, 1: 651, 2: 179}"
nearest_neighbors_k50,nearest_neighbors,50.0,,0.2243467600038746,587.2053712450573,1.6088127349043087,0.16420680186474204,0.2083181110715152,4.875999450683594,"{0: 3587, 1: 657, 2: 180}"
rbf_g0.1,rbf,,0.1,0.6456489090218477,48.336089235431345,0.4300268890294227,-0.0008399823528480481,0.0015262473033448424,3.346088409423828,"{0: 4419, 1: 3, 2: 2}"
