criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,tree_depth,leaf_count,val_accuracy,val_f1,val_roc_auc
entropy,6.0,2,1,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,2,2,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,2,5,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,5,1,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,5,2,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,5,5,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,10,1,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,10,2,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,10,5,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,2,1,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,2,2,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,2,5,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,5,1,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,5,2,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,5,5,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,10,1,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,10,2,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
log_loss,6.0,10,5,0.003,balanced,6,23,0.8438914027149321,0.7544483985765125,0.8725586854460095
entropy,6.0,2,10,0.003,balanced,6,22,0.8461538461538461,0.7536231884057971,0.8772887323943661
entropy,6.0,5,10,0.003,balanced,6,22,0.8461538461538461,0.7536231884057971,0.8772887323943661
entropy,6.0,10,10,0.003,balanced,6,22,0.8461538461538461,0.7536231884057971,0.8772887323943661
log_loss,6.0,2,10,0.003,balanced,6,22,0.8461538461538461,0.7536231884057971,0.8772887323943661
log_loss,6.0,5,10,0.003,balanced,6,22,0.8461538461538461,0.7536231884057971,0.8772887323943661
log_loss,6.0,10,10,0.003,balanced,6,22,0.8461538461538461,0.7536231884057971,0.8772887323943661
gini,4.0,2,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,2,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,2,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,2,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,5,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,5,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,5,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,5,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,10,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,10,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,10,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,4.0,10,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,2,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,2,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,2,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,2,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,5,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,5,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,5,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,5,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,10,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,10,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,10,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,6.0,10,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,2,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,2,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,2,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,2,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,5,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,5,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,5,5,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,5,10,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,10,1,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
gini,8.0,10,2,0.003,balanced,3,6,0.8257918552036199,0.749185667752443,0.8723239436619717
